ntab	code	nfocal	day	month	year	individual	group	length_focalsec	length_focalh
3	A44	44	17	9	2018	Lefkada	A	1801	0.500277778
3	M188	188	1	8	2018	Syria	J	1916	0.532222222
2	M189	189	1	8	2018	Taji	J	1818	0.505
2	P140	140	29	7	2018	Pinos	F	1830	0.508333333
4	Ti133	133	21	9	2018	Lefkada	A	1815	0.504166667
2	P141	141	29	7	2018	Tortuga	F	1831	0.508611111
2	Ti66	66	20	6	2018	Lefkada	A	1855	0.515277778
3	A36	36	15	9	2018	Lefkada	A	1846	0.512777778
4	A90	90	3	10	2018	Lefkada	A	1807	0.501944444
1	L46	46	16	6	2018	Lefkada	A	1861	0.516944444
2	M190	190	2	8	2018	Armenia	J	1816	0.504444444
2	P142	142	29	7	2018	Bonacca	F	1853	0.514722222
2	P143	143	29	7	2018	Lucia	F	1839	0.510833333
1	Ti4	4	1	5	2018	Lefkada	A	1898	0.527222222
2	P144	144	29	7	2018	Mayaguana	F	1855	0.515277778
2	P145	145	29	7	2018	Caicos	F	1854	0.515
4	Ti207	207	1	11	2018	Lefkada	A	1808	0.502222222
1	L65	65	2	7	2018	Lefkada	A	1827	0.5075
2	M191	191	2	8	2018	Kasachstan	J	1812	0.503333333
2	P146	146	6	9	2018	Pakistan	J	1832	0.508888889
2	M192	192	2	8	2018	Mongolei	J	1824	0.506666667
2	M193	193	2	8	2018	Cambodia	J	1818	0.505
1	Ta54	54	3	6	2018	Lefkada	A	1803	0.500833333
2	M194	194	2	8	2018	Afganistan	J	1824	0.506666667
2	M195	195	2	8	2018	Kuwait	J	1823	0.506388889
4	J29	29	20	9	2018	Lefkada	A	1804	0.501111111
5	Ti172	172	9	10	2018	Lefkada	A	1836	0.51
1	Ta91	91	3	7	2018	Lefkada	A	1848	0.513333333
2	M196	196	3	8	2018	Oman	B	1815	0.504166667
3	J15	15	11	9	2018	Lefkada	A	1795	0.498611111
4	Ti114	114	18	9	2018	Lefkada	A	1810	0.502777778
1	Ta9	9	8	5	2018	Lefkada	A	1788	0.496666667
2	Ta131	131	26	7	2018	Lefkada	A	1819	0.505277778
3	Ta160	160	16	8	2018	Lefkada	A	1811	0.503055556
3	P147	147	6	9	2018	Colanta	J	1844	0.512222222
3	P148	148	6	9	2018	Kasachstan	J	1857	0.515833333
2	M197	197	3	8	2018	Rinca	B	1797	0.499166667
2	M198	198	3	8	2018	Bora	B	1817	0.504722222
3	P149	149	6	9	2018	Taji	J	1841	0.511388889
2	M199	199	3	8	2018	Latalata	B	1809	0.5025
2	M200	200	3	8	2018	Adonara	B	1809	0.5025
4	Ti141	141	22	9	2018	Lucia	F	1821	0.505833333
4	P150	150	6	9	2018	Mongolei	J	1854	0.515
3	P151	151	6	9	2018	Armenia	J	1875	0.520833333
3	A73	73	29	9	2018	Lucia	F	1799	0.499722222
2	P152	152	7	9	2018	Paros	A	1843	0.511944444
2	M201	201	3	8	2018	Aloha	B	1861	0.516944444
2	M202	202	3	8	2018	Colanta	J	1822	0.506111111
3	P153	153	7	9	2018	Lefkada	A	1839	0.510833333
1	L32	32	12	6	2018	Lucia	F	1957	0.543611111
3	P154	154	7	9	2018	Thassos	A	1860	0.516666667
2	M203	203	3	8	2018	Cambodia	J	1819	0.505277778
3	P155	155	7	9	2018	Isabella	A	1834	0.509444444
3	M204	204	3	8	2018	Pakistan	J	1809	0.5025
2	L74	74	4	7	2018	Lucia	F	1779	0.494166667
3	Ta171	171	23	8	2018	Lucia	F	1828	0.507777778
1	L43	43	15	6	2018	Lucia	F	1827	0.5075
2	Ta110	110	15	7	2018	Lucia	F	1831	0.508611111
3	A6	6	3	9	2018	Lucia	F	1799	0.499722222
1	Ta10	10	9	5	2018	Lucia	F	1811	0.503055556
3	P156	156	7	9	2018	Luzon	A	1836	0.51
3	A30	30	13	9	2018	Lucia	F	1800	0.5
2	P157	157	7	9	2018	Kasachstan	J	1838	0.510555556
3	M205	205	3	8	2018	Taji	J	1813	0.503611111
3	P158	158	7	9	2018	Kuwait	J	1840	0.511111111
3	Ta133	133	27	7	2018	Lucia	F	1811	0.503055556
5	A94	94	4	10	2018	Lucia	F	1796	0.498888889
3	P159	159	7	9	2018	Cambodia	J	1861	0.516944444
2	Ta76	76	20	6	2018	Lucia	F	1762	0.489444444
2	M206	206	4	8	2018	Bahrain	J	1815	0.504166667
3	A13	13	5	9	2018	Lucia	F	1799	0.499722222
4	J42	42	24	9	2018	Lucia	F	1810	0.502777778
1	Ta3	3	1	5	2018	Lucia	F	1819	0.505277778
3	P160	160	10	9	2018	Syria	J	1851	0.514166667
3	Ta149	149	11	8	2018	Lucia	F	1819	0.505277778
4	Ti156	156	23	9	2018	Lucia	F	1826	0.507222222
2	M207	207	4	8	2018	Pakistan	J	1810	0.502777778
2	M208	208	4	8	2018	Syria	J	1811	0.503055556
2	A34	34	15	9	2018	Luzon	A	1798	0.499444444
3	Ti203	203	1	11	2018	Luzon	A	1804	0.501111111
3	P161	161	10	9	2018	Kasachstan	J	1864	0.517777778
3	P162	162	10	9	2018	Taji	J	1850	0.513888889
3	Ti87	87	28	8	2018	Luzon	A	1817	0.504722222
3	P163	163	10	9	2018	Armenia	J	1899	0.5275
2	M209	209	4	8	2018	Kuwait	J	1811	0.503055556
2	M210	210	4	8	2018	Mongolei	J	1811	0.503055556
3	A45	45	17	9	2018	Luzon	A	1808	0.502222222
2	P164	164	30	7	2018	Kasachstan	J	1862	0.517222222
1	Ti3	3	1	5	2018	Luzon	A	1899	0.5275
2	M211	211	4	8	2018	Afganistan	J	1826	0.507222222
3	M212	212	4	8	2018	Thassos	A	1813	0.503611111
1	L24	24	4	6	2018	Luzon	A	1816	0.504444444
2	P165	165	30	7	2018	Syria	J	1854	0.515
2	P166	166	30	7	2018	Kuwait	J	1856	0.515555556
4	Ti136	136	21	9	2018	Luzon	A	1803	0.500833333
2	P167	167	30	7	2018	Bahrain	J	1857	0.515833333
2	Ti69	69	20	6	2018	Luzon	A	1799	0.499722222
3	A92	92	3	10	2018	Luzon	A	1798	0.499444444
1	Ti60	60	19	6	2018	Luzon	A	1851	0.514166667
3	M213	213	4	8	2018	Lefkada	A	1808	0.502222222
3	Ta157	157	16	8	2018	Luzon	A	1862	0.517222222
4	J28	28	20	9	2018	Luzon	A	1806	0.501666667
1	Ta7	7	8	5	2018	Luzon	A	1793	0.498055556
2	Ta90	90	3	7	2018	Luzon	A	1818	0.505
3	Ti75	75	17	7	2018	Luzon	A	1981	0.550277778
4	Ti113	113	18	9	2018	Luzon	A	1804	0.501111111
3	M214	214	4	8	2018	Isabella	A	1821	0.505833333
2	Ta55	55	3	6	2018	Luzon	A	1796	0.498888889
3	M215	215	4	8	2018	Paros	A	1814	0.503888889
2	P168	168	30	7	2018	Colanta	J	1845	0.5125
1	Ta35	35	22	5	2018	Luzon	A	1840	0.511111111
2	P169	169	30	7	2018	Taji	J	1853	0.514722222
2	M216	216	5	8	2018	Syria	J	1815	0.504166667
4	A81	81	30	9	2018	Luzon	A	1788	0.496666667
5	Ti174	174	9	10	2018	Luzon	A	1824	0.506666667
2	M217	217	5	8	2018	Cambodia	J	1797	0.499166667
2	Ta120	120	19	7	2018	Mayaguana	F	1803	0.500833333
2	M218	218	5	8	2018	Armenia	J	1878	0.521666667
1	L40	40	15	6	2018	Mayaguana	F	1919	0.533055556
2	Ta107	107	15	7	2018	Mayaguana	F	1839	0.510833333
2	M219	219	5	8	2018	Colanta	J	1782	0.495
2	P170	170	30	7	2018	Bangladesh	B	1830	0.508333333
2	M220	220	5	8	2018	Kuwait	J	1828	0.507777778
2	M221	221	5	8	2018	Kasachstan	J	1826	0.507222222
4	Ti143	143	22	9	2018	Mayaguana	F	1827	0.5075
1	L2	2	22	5	2018	Mayaguana	F	1783	0.495277778
2	L73	73	4	7	2018	Mayaguana	F	1814	0.503888889
2	M222	222	6	8	2018	Caicos	F	1818	0.505
2	P171	171	30	7	2018	Buru	B	1840	0.511111111
3	P172	172	30	7	2018	Aloha	B	1840	0.511111111
